,Full name,Gender,Position,Nation,Institute,Shanghai_ranking,Depratment,Disciplines,Publications,Citations,Recommendations,Top cited research,Interest score,Reads,h index,URL
82,P. Sarah,male,Professor,Israel,Bar Ilan University,301,Department of Geography and the Environment,Geography|Soil Science|Geomorphology,84.0,2174.0,29.0,The impact of climate change on geomorphology and desertification along a Mediterranean-arid transect,1125.0,20932.0,25.0,https://www.researchgate.net/profile/P-Sarah
83,Roy Salomon,male,"BA. ,MSc , PhD.",Israel,Bar Ilan University,301, Gonda Multidisciplinary Brain Research Center,fMRI|Cognitive Neuroscience|Functional Neuroimaging,107.0,2421.0,66.0,"Brain system for mental orientation in space, time, and person",1319.0,22690.0,28.0,https://www.researchgate.net/profile/Roy-Salomon
84,Avner Priel,male,PhD,Israel,Bar Ilan University,301,Faculty of Life Sciences,Complex Networks|Biophysics|Nonlinear Dynamics,43.0,1100.0,44.0,Metabolic control of type 1 regulatory T cell differentiation by AHR and HIF1-α,5742.0,7772.0,16.0,https://www.researchgate.net/profile/Avner-Priel
85,Arye L. Hillman,male,PhD University of Pennsylvania,Israel,Bar Ilan University,301,Department of Economics,Governance|Economic Analysis|Economic Policy Analysis,245.0,6744.0,120.0,Politically Contestable Rents and Transfers,3573.0,100434.0,39.0,https://www.researchgate.net/profile/Arye-Hillman
86,Yael Perlman,male,PhD,Israel,Bar Ilan University,301,Department of Management,Sustainable Supply Management|Logistics|Operations Management,47.0,593.0,20.0,The effect of risk sensitivity on a supply chain of mobile applications under a consignment contract with revenue sharing and quality investment,2913.0,7647.0,16.0,https://www.researchgate.net/profile/Yael-Perlman
87,Joseph Deutsch,male,Professor of Economics,Israel,Bar Ilan University,301,Department of Economics,Nan,98.0,1600.0,11.0,Measuring Multidimensional Poverty: An Empirical Comparison of Various Approaches,7930.0,6809.0,22.0,https://www.researchgate.net/profile/Joseph-Deutsch-2
88,Ronit Kark,male,"PhD, Full Professor",Israel,Bar Ilan University,301,Department of Psychology,Leadership|Leadership Skills|Organizational Psychology,98.0,5546.0,158.0,The Two Faces of Transformational Leadership: Empowerment and Dependency,4489.0,169997.0,30.0,https://www.researchgate.net/profile/Ronit-Kark
89,Joseph Schwarzwald,male,PhD,Israel,Bar Ilan University,301,Department of Psychology,Social Psychology|Self-efficacy|Motivational Psychology,101.0,3141.0,2.0,Prejudice Toward Immigrants to Spain and Israel: An Integrated Threat Theory Analysis,1548.0,14621.0,28.0,https://www.researchgate.net/profile/Joseph-Schwarzwald
90,Efrat Shimshoni,male,Professor at Bar Ilan University,Israel,Bar Ilan University,301,Department of Physics,Magnetic Field|Condensed Matter Theory|Superconductivity,114.0,1858.0,13.0,Transport Through Quantum Melts,8471.0,4634.0,22.0,https://www.researchgate.net/profile/Efrat-Shimshoni
91,Anat Tchetchik,male,PhD,Israel,Bar Ilan University,301,Department of Geography and the Environment,Econometrics|Environmental Economics|Pro Environmental consumer behavior,47.0,1030.0,37.0,Does rural tourism benefit from agriculture?,6140.0,11276.0,15.0,https://www.researchgate.net/profile/Anat-Tchetchik
92,Racheli Magnezi,male,"PhD, MBA, MHA",Israel,Bar Ilan University,301,Department of Management,Health|Public Health|Health Care Management,82.0,847.0,13.0,"Assessor Type, Number of Distinguishable Dimension Categories, and Assessment Centre Construct Validity",5536.0,23127.0,16.0,https://www.researchgate.net/profile/Racheli-Magnezi
93,Alon Korngreen,male,PhD,Israel,Bar Ilan University,301, Gonda Multidisciplinary Brain Research Center,Neuron|Evolutionary Computation|Computation,87.0,2180.0,11.0,Voltage-gated K+ channels in layer 5 neocortical pyramidal neurones from young rats: Subtypes and gradients,1043.0,12173.0,27.0,https://www.researchgate.net/profile/Alon-Korngreen
94,Yitzhak Rabin,male,Ph.D,Israel,Bar Ilan University,301,Department of Physics,Polymer Physics|Biophysics|Theoretical Physics,217.0,6825.0,28.0,Electrostatic Focusing of Unlabeled DNA into Nanoscale Pores using a Salt Gradient,3228.0,12611.0,40.0,https://www.researchgate.net/profile/Yitzhak-Rabin
95,Gruzman Arie,male,PhD,Israel,Bar Ilan University,301,Department of Chemistry,Nan,76.0,1314.0,18.0,Common molecular signature in SOD1 for both sporadic and familial amyotrophic lateral sclerosis,6462.0,10069.0,17.0,https://www.researchgate.net/profile/Gruzman-Arie
96,Galit W. Sassoon,male,PhD,Israel,Bar Ilan University,301,The Department of English Literature and Linguistics,Language|Applied Linguistics|English Language,58.0,465.0,4.0,A Typology of Multidimensional Adjectives,3423.0,36076.0,11.0,https://www.researchgate.net/profile/Galit-W-Sassoon
97,Itamar Lensky,male,PhD,Israel,Bar Ilan University,301,Department of Geography and the Environment,Meteorology|Atmospheric Physics|Remote Sensing,111.0,2574.0,73.0,Satellite–Based Insights into Precipitation Formation Processes in Continental and Maritime Convective Clouds,1512.0,24311.0,25.0,https://www.researchgate.net/profile/Itamar-Lensky
98,Samuel Braverman,male,PhD,Israel,Bar Ilan University,301,Department of Chemistry,Organic Chemistry|Synthesis|Cyclization,183.0,1579.0,2.0,Novel cyclization of diallenic sulfones,6194.0,4630.0,22.0,https://www.researchgate.net/profile/Samuel-Braverman-2
99,Adrian Ziderman,male,"Ph.D, London School of Economi",Israel,Bar Ilan University,301,Nan,Nan,114.0,2101.0,2.0,Investment in General Training: The Role of Information and Labour Mobility,1061.0,12313.0,23.0,https://www.researchgate.net/profile/Adrian-Ziderman
100,Galit Nahari,male,Professor,Israel,Bar Ilan University,301,Department of Criminology,Lie Detection|Deception|Forensic Psychology,68.0,1405.0,64.0,Exploiting liars' verbal strategies by examining unverifiable details,6925.0,12216.0,23.0,https://www.researchgate.net/profile/Galit-Nahari
101,Reuven Cohen,male,Professor,Israel,Bar Ilan University,301,Department of Mathematics,Security|Computer Networking|Cloud Computing,131.0,10949.0,107.0,Resilience of the Internet to Random Breakdowns,5433.0,25833.0,38.0,https://www.researchgate.net/profile/Reuven-Cohen-2
102,Avraham Mayevsky,male,Prof. Emeritus,Israel,Bar Ilan University,301,Faculty of Life Sciences,Cerebral Ischemia|Mitochondria|Cerebral Blood Flow,265.0,5877.0,6.0,Mitochondrial Function In Vivo Evaluated by NADH Fluorescence: From Animal Models to Human Studies,1714.0,9488.0,40.0,https://www.researchgate.net/profile/Avraham-Mayevsky-2
103,Hanoch Lavee,male,"PhD,  professor emeritus",Israel,Bar Ilan University,301,"Department of Geography and the Environment, Laboratory of soil and geomorphology",Nan,93.0,4381.0,16.0,Rock fragments in top soils: Significance and processes,2139.0,24792.0,36.0,https://www.researchgate.net/profile/Hanoch-Lavee
104,Ofra Korat,male,Professor,Israel,Bar Ilan University,301,School of Education,Applied Linguistics|Language Teaching|Literacy,70.0,2521.0,12.0,"Reading electronic books as a support for vocabulary, story comprehension and word reading in Kindergarten and first grade",1385.0,50915.0,28.0,https://www.researchgate.net/profile/Ofra-Korat
105,Nira Mashal,male,Prof.,Israel,Bar Ilan University,301,Faculty of Education and Brain Research Center,fMRI|Language|Neuroscience,78.0,2082.0,29.0,An fMRI investigation of the neural correlates underlying the processing of novel metaphoric expressions,1154.0,18547.0,20.0,https://www.researchgate.net/profile/Nira-Mashal
106,Yair Noam,male,PhD,Israel,Bar Ilan University,301,Faculty of Engineering,Nan,46.0,442.0,2.0,Notes on the Tightness of the Hybrid CramÉr–Rao Lower Bound,2214.0,2057.0,11.0,https://www.researchgate.net/profile/Yair-Noam
107,Adi Schnytzer,male,D. Phil (Oxon),Israel,Bar Ilan University,301,Department of Economics,Nan,52.0,497.0,3.0,Implementing the Lindahl Voluntary-Exchange Mechanism,2429.0,20496.0,13.0,https://www.researchgate.net/profile/Adi-Schnytzer
108,Joel M Guttman,male,"Ph.D., University of Chicago",Israel,Bar Ilan University,301,Department of Economics,Governance|Development Studies|Economic Analysis,42.0,961.0,1.0,Understanding Collective Action: Matching Behavior,4544.0,2297.0,17.0,https://www.researchgate.net/profile/Joel-Guttman
109,Elisha Haas,male,Professor at Bar Ilan University,Israel,Bar Ilan University,301,Faculty of Life Sciences,Nan,126.0,4191.0,9.0,Effect of the orientation of donor and acceptor on the probability of energy transfer involving transitions of mixed polarization,1771.0,5163.0,35.0,https://www.researchgate.net/profile/Elisha-Haas
110,Natti Ronel,male,PhD,Israel,Bar Ilan University,301,Department of Criminology,Criminal Psychology|Addiction Research|Addiction Psychology,88.0,1215.0,40.0,A Different Perspective: Introducing Positive Criminology,6198.0,35211.0,21.0,https://www.researchgate.net/profile/Natti-Ronel
111,A. Gedanken,male,Nan,Israel,Bar Ilan University,301,Department of Chemistry,Nan,373.0,19303.0,38.0,Sonochemical Synthesis and Characterization of Nanometer-Size Transition Metal Oxides from Metal Acetates,9561.0,54766.0,75.0,https://www.researchgate.net/profile/A-Gedanken
112,Maayan Zhitomirsky-Geffet,male,PhD,Israel,Bar Ilan University,301,Department of Information Science,Information Retrieval|Ontologies|Social Networks,72.0,1047.0,24.0,Directional distributional similarity for lexical inference,6350.0,16068.0,13.0,https://www.researchgate.net/profile/Maayan-Zhitomirsky-Geffet
113,Remennick L.arissa,male,"Ph.D., Professor of Sociology",Israel,Bar Ilan University,301, Department of Sociology and Anthropology,Diaspora|Ethnicity|Sociology,114.0,2589.0,16.0,Childless in the Land of Imperative Motherhood: Stigma and Coping Among Infertile Israeli Women,1388.0,26140.0,29.0,https://www.researchgate.net/profile/Remennick-Larissa
114,Valentin Freilikher,male,PhD,Israel,Bar Ilan University,301,Department of Physics,Solid State Physics|Optics|Photonics,183.0,3304.0,16.0,Electronic properties of mesoscopic graphene structures: Charge confinement and control of spin and charge transport,1447.0,9194.0,31.0,https://www.researchgate.net/profile/Valentin-Freilikher-2
115,M. Rosenbluh,male,Ph.D.,Israel,Bar Ilan University,301,Department of Physics,Optical Physics|Nonlinear Optics|Optics,212.0,5045.0,26.0,Memory Effects in Propagation of Optical Waves through Disordered Media,2457.0,20133.0,35.0,https://www.researchgate.net/profile/M-Rosenbluh
116,Osnat Keren,male,Nan,Israel,Bar Ilan University,301,Faculty of Engineering,Nan,119.0,681.0,7.0,DPA-secured quasi-adiabatic logic (SQAL) for low-power passive RFID tags employing S-boxes,2538.0,7994.0,15.0,https://www.researchgate.net/profile/Osnat-Keren
117,Harry Friedmann,male,Professor emerritus,Israel,Bar Ilan University,301,Department of Chemistry,Phenomenology|Ontology|Immanuel Kant,187.0,4020.0,1150.0,Effects of visible and near IR lasers on cell cultures,1878.0,50411.0,33.0,https://www.researchgate.net/profile/Harry-Friedmann-3
118,Nir Cohen,male,PhD,Israel,Bar Ilan University,301,Department of Geography and the Environment,Urban Geography|Human Geography|Ethnicity,42.0,370.0,31.0,Reconstructing urban image through cultural flagship events: The case of Bat-Yam,2600.0,6781.0,11.0,https://www.researchgate.net/profile/Nir-Cohen-5
119,Beni Lauterbach,male,Professor,Israel,Bar Ilan University,301,Graduate School of Business Administration ,Corporate Finance|Investment|Valuation,79.0,1892.0,17.0,Market Microstructure and Securities Values: Evidence from the Tel Aviv Stock Exchange,9888.0,12342.0,20.0,https://www.researchgate.net/profile/Beni-Lauterbach
120,Alon Raviv,male,Professor (Associate) at Bar Ilan University,Israel,Bar Ilan University,301,Graduate School of Business Administration ,Financial Crises|Credit Risk|Derivatives,49.0,365.0,28.0,Bank Stability and Market Discipline: The Effect of Contingent Capital on Risk Taking and Default Probability,2222.0,6267.0,10.0,https://www.researchgate.net/profile/Alon-Raviv
121,Eli Omid David,male,Ph.D.,Israel,Bar Ilan University,301,Department of Computer Science,Computer Vision|Machine Learning|Data Mining,68.0,946.0,14.0,DeepSign: Deep Learning for Automatic Malware Signature Generation and Classification,6629.0,37156.0,15.0,https://www.researchgate.net/profile/Eli_David
122,Vered Halamish,male,PhD,Israel,Bar Ilan University,301,School of Education,Memory|Learning|Cognitive Development,32.0,861.0,15.0,When Does Testing Enhance Retention? A Distribution-Based Interpretation of Retrieval as a Memory Modifier,5119.0,9326.0,14.0,https://www.researchgate.net/profile/Vered-Halamish
123,Yitzhak Mastai,male,Prof,Israel,Bar Ilan University,301,Department of Chemistry,Nanomaterials Synthesis|Materials Science|Nanoparticles,191.0,5572.0,234.0,Hybrid Organic–Inorganic Perovskites (HOIPs): Opportunities and Challenges,2860.0,30783.0,44.0,https://www.researchgate.net/profile/Yitzhak-Mastai
124,Yosef Yeshurun,male,Nan,Israel,Bar Ilan University,301,Department of Physics,Nan,325.0,10710.0,31.0,Giant Flux Creep and Irreversibility in an Y-Ba-Cu-O Crystal: An Alternative to the Superconducting-Glass Model,4880.0,17372.0,47.0,https://www.researchgate.net/profile/Yosef-Yeshurun
125,Joseph Glicksohn,male,Ph.D,Israel,Bar Ilan University,301,Department of Criminology,Cognitive Psychology|Brain|EEG,179.0,3357.0,79.0,"Mindfulness-induced changes in gamma band activity–Implications for the default mode network, self-reference and attention",1764.0,33368.0,30.0,https://www.researchgate.net/profile/Joseph-Glicksohn
126,Stuart Margolis,male,"Ph.D., Math UC Berkeley, 1979",Israel,Bar Ilan University,301,Department of Mathematics,Geometry|Topology|Theoretical Computer Science,114.0,1836.0,28.0,"Ash’s type II theorem, profinite topology and Malcev products. I",8697.0,9011.0,25.0,https://www.researchgate.net/profile/Stuart-Margolis
127,Hamutal Slovin,male,PhD,Israel,Bar Ilan University,301, Gonda Multidisciplinary Brain Research Center,Optical Imaging|Visual Perception|Animal Behavior,55.0,4443.0,6.0,Dynamics of neuronal interactions in monkey cortex in relation to behavioral events,2087.0,6619.0,23.0,https://www.researchgate.net/profile/Hamutal-Slovin
128,Pazit Polak,male,PhD,Israel,Bar Ilan University,301,Faculty of Engineering,Molecular Biology|Biotechnology|Cell Biology,45.0,2086.0,7.0,"Hepatic MTORC2 activates glycolysis and lipogenesis through Akt, glucokinase, and SREBP1c",1033.0,10983.0,17.0,https://www.researchgate.net/profile/Pazit-Polak
129,Ronald S Goldstein,male,Doctor of Philosophy,Israel,Bar Ilan University,301,Faculty of Life Sciences,Nan,101.0,3297.0,105.0,Induced neuronal differentiation of human embryonic stem cells,1443.0,6618.0,31.0,https://www.researchgate.net/profile/Ronald-Goldstein
130,Gad Miller,male,PhD,Israel,Bar Ilan University,301,Nan,Nan,85.0,12635.0,42.0,Reactive oxygen species homeostasis and signaling during drought and salinity stresses,6344.0,15024.0,26.0,https://www.researchgate.net/profile/Gad-Miller
131,Amit Shrira,male,PhD,Israel,Bar Ilan University,301,Interdisciplinary Department of Social Sciences,Psychopathology|Psychological Assessment|Counseling,180.0,3191.0,57.0,"The Loneliness Pandemic: Loneliness and Other Concomitants of Depression, Anxiety and their Comorbidity During the COVID-19 Outbreak",1484.0,17145.0,31.0,https://www.researchgate.net/profile/Amit-Shrira
132,Lior Klein,male,Professor,Israel,Bar Ilan University,301,Department of Physics,Condensed Matter Physics|Thin Films|Magnetic Properties,145.0,3870.0,18.0,"Structure, physical properties, and applications of SrRuO3 thin films",1926.0,17284.0,32.0,https://www.researchgate.net/profile/Lior-Klein
133,Nicole Leifer,male,PhD Physics from CUNY/Hunter,Israel,Bar Ilan University,301,Department of Chemistry,Analytical Chemistry|Battery|Electrochemistry,42.0,2556.0,48.0,A review of advanced and practical lithium battery materials,1463.0,23031.0,18.0,https://www.researchgate.net/profile/Nicole-Leifer
134,Nael Elias,male,"MD., MHA.",Israel,Bar Ilan University,301,Faculty of Medicine in the Galilee,Spirometry|Asthma|Lung,40.0,668.0,3.0,Immunofluorescence Analysis and Diagnosis of Primary Ciliary Dyskinesia with Radial Spoke Defects,3456.0,4161.0,16.0,https://www.researchgate.net/profile/Nael-Elias
135,Haim Taitelbaum,male,Prof.,Israel,Bar Ilan University,301,Department of Physics,Simulation|Modeling|Kinetics,85.0,1488.0,11.0,Some Properties of the A + B⟹C Reaction-Diffusion System with Initially Separated Components,6244.0,9064.0,20.0,https://www.researchgate.net/profile/Haim-Taitelbaum
136,Joel Roskin,male,PhD,Israel,Bar Ilan University,301,Department of Geography and the Environment,Environmental Impact Assessment|Prehistoric Archaeology|Physical Geography,91.0,1074.0,117.0,"Age, origin and climatic controls on vegetated linear dunes in the northwestern Negev Desert (Israel)",9602.0,33341.0,20.0,https://www.researchgate.net/profile/Joel-Roskin
137,Ofer Golan,male,PhD,Israel,Bar Ilan University,301,Department of Psychology,Social Neuroscience|Autism Spectrum Disorders|Nonverbal Communication,98.0,4197.0,61.0,Systemizing Empathy: Teaching Adults With Asperger Syndrome or High-Functioning Autism to Recognize Complex Emotions Using Interactive Multimedia,2748.0,64054.0,29.0,https://www.researchgate.net/profile/Ofer-Golan
138,Jacob Weisberg,male,Professor,Israel,Bar Ilan University,301,Graduate School of Business Administration ,Nan,64.0,2971.0,11.0,Self-leadership skills and innovative behavior,1868.0,52272.0,23.0,https://www.researchgate.net/profile/Jacob-Weisberg
139,Erik Cohen,male,Nan,Israel,Bar Ilan University,301,School of Education,Nan,42.0,936.0,5.0,Educational dark tourism at an in populo site: The Holocaust Museum in Jerusalem,4371.0,3486.0,14.0,https://www.researchgate.net/profile/Erik-Cohen-3
140,Eitan Okun,male,Ph.D.,Israel,Bar Ilan University,301,Life Sciences Faculty and the Gonda Multidisciplinary Brain Research Center,Stereotaxic Techniques|Learning and Memory|Lentiviral Vectors,96.0,4554.0,39.0,Toll-like receptor Signaling in Neural Plasticity and Disease,2264.0,18235.0,30.0,https://www.researchgate.net/profile/Eitan-Okun
141,Amos Sharoni,male,PhD,Israel,Bar Ilan University,301,Department of Physics,Magnetic Materials and Magnetism|Condensed Matter Physics|Thin Film Deposition,92.0,1995.0,20.0,Role of Thermal Heating on the Voltage Induced Insulator-Metal Transition in VO 2,9589.0,9384.0,24.0,https://www.researchgate.net/profile/Amos-Sharoni
142,Sivan Spitzer,male,PhD,Israel,Bar Ilan University,301,Azrieli Faculty of Medicine,Health Disparities|Health Equity|Health Inequality,32.0,546.0,20.0,Health equity and COVID-19: global perspectives,3058.0,3254.0,6.0,https://www.researchgate.net/profile/Sivan-Spitzer
143,Iris BenDavid-Hadar,male,PhD,Israel,Bar Ilan University,301,School of Education,Gini coefficient|Academic Achievement|School Finance Policy,35.0,195.0,4.0,School finance policy and social justice,1021.0,3590.0,8.0,https://www.researchgate.net/profile/Iris-Bendavid-Hadar-2
144,Shoshana Neuman,male,Professor,Israel,Bar Ilan University,301,Department of Economics,Econometric Analysis|Applied Economics,83.0,1740.0,29.0,Wage Decompositions with Selectivity-Corrected Wage Equations: A Methodological Note,8447.0,9370.0,21.0,https://www.researchgate.net/profile/Shoshana-Neuman
